customer_id,age,gender,location,customer_tenure_years,policy_type,monthly_premium,coverage_level,claims_last_year,payment_delay_days,customer_satisfaction,customer_service_interactions,churn
1,49,F,Urban,8,Comprehensive,308.48,High,0,0,4,1,0
2,55,F,Suburban,7,Comprehensive,309.36,Medium,0,0,1,2,0
3,53,M,Urban,2,Comprehensive,285.77,High,0,0,4,2,0
4,48,M,Urban,1,Third_Party,200.18,Low,0,13,1,2,1
5,39,F,Suburban,13,Comprehensive,298.64,High,0,0,5,2,0
6,53,M,Urban,14,Comprehensive,313.94,Low,0,0,4,2,0
7,33,F,Suburban,9,Third_Party,212.39,Low,0,18,3,0,1
8,53,F,Suburban,8,Third_Party,210.92,Low,1,0,3,0,0
9,33,F,Urban,8,Comprehensive,267.33,High,1,0,1,0,0
10,52,M,Urban,5,Comprehensive,314.28,Medium,0,0,3,0,0
11,30,M,Urban,5,Comprehensive,308.35,Low,1,0,4,2,0
12,39,F,Urban,14,Third_Party,225.13,High,2,15,3,2,1
13,41,F,Suburban,10,Third_Party,187.63,Medium,1,0,4,1,0
14,36,F,Urban,15,Comprehensive,299.3,Medium,1,25,2,2,1
15,46,M,Rural,4,Basic,114.35,Medium,0,0,4,2,0
16,44,M,Rural,2,Third_Party,242.46,High,0,13,2,2,1
17,40,F,Urban,2,Third_Party,234.46,Low,0,0,3,1,0
18,45,M,Rural,6,Third_Party,231.23,High,0,10,1,0,0
19,53,M,Suburban,9,Third_Party,203.08,Medium,0,0,1,1,0
20,56,M,Rural,3,Third_Party,240.84,Low,2,0,5,2,0
21,46,M,Suburban,7,Third_Party,197.06,Medium,1,12,2,5,0
22,37,F,Urban,2,Third_Party,211.76,Medium,1,15,5,1,1
23,35,F,Urban,1,Third_Party,231.04,High,1,13,5,5,1
24,41,F,Urban,3,Third_Party,221.18,Medium,2,0,2,2,0
25,55,F,Urban,8,Third_Party,230.53,Medium,1,0,1,5,0
26,45,M,Urban,6,Basic,141.58,Low,1,0,4,0,0
27,40,M,Urban,4,Basic,121.64,Low,0,0,1,1,0
28,41,M,Urban,5,Third_Party,202.59,Medium,1,0,2,3,0
29,45,M,Urban,3,Comprehensive,315.09,Low,1,0,3,0,0
30,53,M,Urban,4,Third_Party,221.02,High,0,0,3,2,0
31,66,F,Suburban,4,Third_Party,260.05,Medium,0,0,2,1,0
32,63,M,Urban,2,Third_Party,171.87,High,0,0,2,3,0
33,59,M,Suburban,4,Comprehensive,295.03,Low,1,0,5,0,0
34,45,M,Urban,5,Third_Party,222.77,High,0,0,2,3,0
35,47,F,Urban,1,Third_Party,209.85,Medium,0,12,4,5,0
